,number_of_commits,number_of_unique_committers,week,repoID
489,3,2,2017-08-20 00:00:00+00:00,37991233
490,1,1,2017-08-27 00:00:00+00:00,37991233
491,6,2,2017-09-03 00:00:00+00:00,37991233
492,2,1,2017-09-10 00:00:00+00:00,37991233
493,3,3,2017-09-17 00:00:00+00:00,37991233
494,3,2,2017-09-24 00:00:00+00:00,37991233
495,3,1,2017-10-01 00:00:00+00:00,37991233
496,1,1,2017-10-08 00:00:00+00:00,37991233
497,4,2,2017-10-15 00:00:00+00:00,37991233
498,3,2,2017-10-22 00:00:00+00:00,37991233
499,2,1,2017-10-29 00:00:00+00:00,37991233
500,7,3,2017-11-05 00:00:00+00:00,37991233
501,5,2,2017-11-12 00:00:00+00:00,37991233
502,5,2,2017-11-19 00:00:00+00:00,37991233
503,1,1,2017-11-26 00:00:00+00:00,37991233
504,1,1,2017-12-03 00:00:00+00:00,37991233
505,2,2,2017-12-10 00:00:00+00:00,37991233
506,0,0,2017-12-17 00:00:00+00:00,37991233
507,1,1,2017-12-24 00:00:00+00:00,37991233
508,1,1,2017-12-31 00:00:00+00:00,37991233
509,2,2,2018-01-07 00:00:00+00:00,37991233
